workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A100_MIG_3g40gb,1024,V3,2,32,1.006592,2133.420068,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,3,32,1.007104,2132.335453,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,4,32,1.021440,2102.407960,1,0.000458
gemm,A100_MIG_3g40gb,1024,Ref,0,64,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,64,0.599552,3581.813979,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,64,1.765376,1216.445495,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,2,64,0.644608,3331.456604,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,3,64,0.879616,2441.387599,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,4,64,0.972288,2208.690862,1,0.000458
gemm,A100_MIG_3g40gb,1024,Ref,0,128,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,128,0.619520,3466.366894,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,128,1.765888,1216.092797,1,0.000458
gemm,A100_MIG_3g40gb,2048,Ref,0,16,2.486272,6909.891000,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,16,13.895680,1236.346062,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,16,13.846528,1240.734798,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,2,16,14.366208,1195.852733,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,3,16,14.610432,1175.863178,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,4,16,14.359040,1196.449724,1,0.000000
gemm,A100_MIG_3g40gb,2048,Ref,0,32,2.486272,6909.891000,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,32,7.852544,2187.809331,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,32,13.844480,1240.918383,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,2,32,7.810048,2199.713620,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,3,32,7.808512,2200.146359,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,4,32,7.945728,2162.151668,1,0.000000
gemm,A100_MIG_3g40gb,2048,Ref,0,64,2.486272,6909.891000,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,64,4.146176,4143.545705,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,64,13.841920,1241.147854,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,2,64,4.462080,3850.192999,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,3,64,6.454272,2661.782630,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,4,64,7.026688,2444.945463,1,0.000000
gemm,A100_MIG_3g40gb,2048,Ref,0,128,2.486272,6909.891000,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,128,4.491776,3824.738639,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,128,13.838336,1241.469292,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,16,8.020992,7228.788718,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,16,49.419264,1173.268357,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,16,57.220097,1013.316334,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,2,16,51.163649,1133.266686,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,3,16,51.748863,1120.450864,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,4,16,50.851841,1140.215524,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,32,8.020992,7228.788718,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,32,26.600961,2179.697909,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,32,57.188351,1013.878837,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,2,32,26.434560,2193.418725,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,3,32,26.454528,2191.763119,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,4,32,27.725824,2091.265448,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,64,8.020992,7228.788718,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,64,13.789184,4204.894221,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,64,57.190912,1013.833426,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,2,64,15.512576,3737.745305,1,0.000000
